REF,DENOMINATION,OBVERSE,REVERSE,MINT,EMPEROR,NAMED,HOARD,WEIGHT,DONOR,DONORREF,WALKER,COMMENTS,ARSENIC,GOLD,COPPER,IRON,NICKEL,LEAD,ANTIMONY,TIN,ZINC,MANGANESE,CHROMIUM,COBALT,SILVER,BISMUTH,BULLION,,
A39,Tetradrachm,"Laur. hd. of Heracles (Melqart) with lions skin knotted about neck, r.","ΤΥΡΟΣ ΙΕΡΑΣ ΚΑΙ ΑΣΥΛΟΥ, eagle stg., l., on prow of galley, and with palm on wing, to l., club: ΡΟΖ: below eagle Phoenician letter, Yr. 177.",Tyre,Hellenistic,<null>,<null>,13.74,Ashmolean Museum,,,,0.038,0.80,2.96,0.025,0.0012,0.09,0.006,0.0012,0.0012,0.0001,0.0149,0.4024,95.62,0.036,96.55,,
KB22,Tetradrachm,"Laur. hd. of Heracles (Melqart) with lions skin knotted about neck, r.","ΤΥΡΟΣ ΙΕΡΑΣ ΚΑΙ ΑΣΥΛΟΥ, eagle stg., l., on prow of galley, and with palm on wing, to l., club: ΡΜΔ: below eagle Phoenician letter, Yr. 144.",Tyre,Hellenistic,<null>,<null>,<null>,Private,2000-96,,,0.001,0.84,3.11,0.003,0.0001,0.23,0.002,0.0013,0.0001,0.0002,0.0038,0.1093,95.66,0.045,96.77,,
KB23,Tetradrachm,"Laur. hd. of Heracles (Melqart) with lions skin knotted about neck, r.","ΤΥΡΟΣ ΙΕΡΑΣ ΚΑΙ ΑΣΥΛΟΥ, eagle stg., l., on prow of galley, and with palm on wing, to l., club: ΡΜΕ: below eagle Phoenician letter, Yr. 145.",Tyre,Hellenistic,<null>,<null>,<null>,Private,1996-112,,,0.002,0.74,2.97,0.006,0.0007,0.26,0.059,0.0012,0.0002,0.0004,0.0108,0.3484,95.54,0.047,96.60,,
KB24,Didrachm,"Laur. hd. of Heracles (Melqart) with lions skin knotted about neck, r.","ΤΥΡΟΣ ΙΕΡΑΣ ΚΑΙ ΑΣΥΛΟΥ, eagle stg., l., on prow of galley, and with palm on wing, to l., club: ΡΝΘ: below eagle Phoenician letter, Yr. 159.",Tyre,Hellenistic,<null>,<null>,<null>,Private,1997-22,,,0.007,0.49,2.00,0.003,0.5445,0.00,0.009,0.0001,0.0001,0.0001,0.0001,0.0001,96.93,0.019,97.44,,
B462,Tetradrachm,"ΝΕΡΩΝΟΣ ΚΑΙΣΑΡΟΣ ΣΕΒΑΣΤΟΥ,  laur. hd, r., with aegis","εΤΟΥΣ ΑΙΡ Θ, eagle on thunderbolt, l., to l., palm branch, Yr. 9/111=AD 62/3",Antioch,Nero,<null>,<null>,<null>,Bruno,,,9/111,0.034,0.41,27.67,0.010,0.005,0.67,0.015,0.0059,0.0005,0.0001,0.0001,0.0007,71.13,0.050,72.26,,
B468,Tetradrachm,"ΝΕΡΩΝΟΣ ΚΑΙΣΑΡΟΣ ΣΕΒΑΣΤΟΥ,  laur. hd, r., with aegis","Eagle on thunderbolt, l., to l., palm branch, to r., GH Ρ, Yr. 6/108=AD 59/60",Antioch,Nero,<null>,<null>,<null>,Bruno,,,6/108,0.018,0.48,27.84,0.007,0.004,0.25,0.016,0.0047,0.0001,0.0001,0.0001,0.0002,71.33,0.039,72.11,,
B473,Tetradrachm,ΝΕΡΩΝ ΚΑΙCΑΡ CΕΒΑCΤΟC,"ΕΤΟΥC ΔΙΡ,  eagle on club, r., to l., palm branch Yr. 114=AD 65/6",Antioch,Nero,<null>,<null>,<null>,Bruno,,,,0.006,0.43,28.13,0.003,0.002,0.26,0.020,0.0013,0.0012,0.0001,0.0001,0.0001,71.12,0.027,71.83,,
P51,Tetradrachm,"ΚΑΙΣΑΡΟΣ ΣΕΒΑΣΤΟΥ, laur. hd., r.","ΕΤΟΥΣ ΖΚ ΝΙΚΗΣ, Tyche of Antioch seated, r., with palm branch, before river god Orontes: in field, ΥΠΑ ΙΒ and ΑΝΤ, yr. 27.",Antioch,Augustus,<null>,<null>,<null>,Prieur,,,,0.042,0.34,34.29,0.013,0.0118,0.68,0.007,0.0146,0.0001,0.0001,0.0004,0.0094,64.57,0.020,65.61,,
P52,Tetradrachm,"ΚΑΙΣΑΡΟΣ ΣΕΒΑΣΤΟΥ, laur. hd., r.","ΕΤΟΥΣ ΗΚ ΝΙΚΗΣ, Tyche of Antioch seated, r., with palm branch, before river god Orontes: in field, ΥΠΑ ΙΒ and ΑΝΤ, yr. 28.",Antioch,Augustus,<null>,<null>,<null>,Prieur,,,,0.057,0.35,33.82,0.004,0.0150,0.66,0.010,0.0097,0.0012,0.0004,0.0005,0.0109,65.03,0.019,66.07,,
P54,Tetradrachm,"ΚΑΙΣΑΡΟΣ ΣΕΒΑΣΤΟΥ, laur. hd., r.","ΕΤΟΥΣ ΘΚ ΝΙΚΗΣ, Tyche of Antioch seated, r., with palm branch, before river god Orontes: in field, ΥΠΑ ΙΓ and ΑΝΤ, yr. 29= 9, COS XIII",Antioch,Augustus,<null>,<null>,<null>,Prieur,,,,0.058,0.33,31.65,0.010,0.0201,0.65,0.006,0.0031,0.0046,0.0001,0.0001,0.0217,67.22,0.021,68.23,,
P81,Tetradrachm,"ΝΕΡΩΝΟΣ ΚΑΙΣΑΡΟΣ ΣΕΒΑΣΤΟΥ, laur. bust, r., with aegis","Eagle on thunderbolt, l., to l., palm branch, to r., GH Ρ, Yr. 6/108=AD 59/60,  to r., Ζ ΘΡ, Yr. 7/109.",Antioch,Nero,<null>,<null>,<null>,Prieur,,,7/109,0.032,0.25,27.30,0.026,0.0068,1.22,0.020,0.0130,0.0016,0.0004,0.0011,0.0011,71.04,0.090,72.59,,
P82,Tetradrachm,"ΝΕΡΩΝΟΣ ΚΑΙΣΑΡΟΣ ΣΕΒΑΣΤΟΥ, laur. bust, r., with aegis","Eagle on thunderbolt, l., to l., palm branch, to r., Η ΙΡ, Yr. 8/110.",Antioch,Nero,<null>,<null>,<null>,Prieur,,,8/110,0.021,0.48,28.39,0.017,0.0037,0.53,0.018,0.0838,0.0001,0.0001,0.0001,0.0001,70.41,0.044,71.46,,
P84,Tetradrachm,"ΝΕΡΩΝ ΚΑΙΣΑΡ ΣΕΒΑΣΤΟΥ, laur. hd, r., with aegis","εΤΟΥΣ ΑΙΡ Θ, eagle on thunderbolt, r., to r. dot and palm branch Yr. 9/111.",Antioch,Nero,<null>,<null>,<null>,Prieur,,,9/111,0.044,0.45,35.04,0.007,0.0033,0.37,0.019,0.0001,0.0001,0.0001,0.0001,0.0001,64.03,0.033,64.88,,
P85,Tetradrachm,"ΝΕΡΩΝ ΚΑΙΣΑΡ ΣΕΒΑΣΤΟΣ, laur. hd, r., with aegis","ΕΤΟΥΣ ΑΙΡ Θ, eagle on thunderbolt, r., to r. dot and palm branch Yr. 9/111.",Antioch,Nero,<null>,<null>,<null>,Prieur,,,9/111,0.062,0.52,28.81,0.006,0.0026,0.41,0.029,0.0277,0.0005,0.0001,0.0001,0.0001,70.09,0.046,71.06,,
P90,Tetradrachm,"ΝΕΡΩΝ ΚΑΙΣΑΡ ΣΕΒΑΣΤΟΣ, laur. hd, r., with aegis, dot beneath","ΕΤΟΥΣ ΒΙΡ Ι, eagle on thunderbolt, r., to r. dot and palm branch, Yr. 10/112.",Antioch,Nero,<null>,<null>,<null>,Prieur,,,10/111,0.029,0.45,26.60,0.007,0.0014,0.19,0.009,0.0015,0.0001,0.0001,0.0001,0.0001,72.67,0.041,73.36,,
P91,Tetradrachm,"ΝΕΡΩΝ ΚΑΙCΑΡ CΕΒΑCΤΟC, laur. hd, l.","ΕΤΟΥC ΔΙΡ, eagle on club, r., to l. palm branch Yr. 114.",Antioch,Nero,<null>,<null>,<null>,Prieur,,,,0.019,0.47,29.88,0.012,0.0049,0.28,0.023,0.0895,0.0039,0.0001,0.0001,0.0001,69.18,0.042,69.97,,
P92,Tetradrachm,"ΝΕΡΩΝ ΚΑΙCΑΡ CΕΒΑCΤΟC, laur. hd, r. with aegis","ΕΤΟΥC GΙΡ, eagle with wreath in beak on wreath, l., to l., palm branch Yr. 116.",Antioch,Nero,<null>,<null>,<null>,Prieur,,,,0.016,0.43,35.19,0.002,0.0029,0.41,0.031,0.0013,0.0014,0.0001,0.0001,0.0001,63.89,0.021,64.76,,
KB5,Tetradrachm,"Diademed hd. Of Philip Philadelphus, r.","ΒΑΣΙΛΕΩΣ ΦΙΛΙΠΠΟΥ ΕΠΙΦΑΝΟΥΣ ΦΙΛΑΔΕΛΦΟΥ, Zeus, seated l., holding Nike and sceptre, in exergue Δ, yr. 4.",Antioch,Posthumous Philip,<null>,<null>,<null>,Private,,,Phase I,0.027,0.29,28.63,0.005,0.0150,1.77,0.014,0.0714,0.0008,0.0002,0.0004,0.0017,69.10,0.081,71.23,,
KB7,Tetradrachm,"Diademed hd. Of Philip Philadelphus, r.","ΒΑΣΙΛΕΩΣ ΦΙΛΙΠΠΟΥ ΕΠΙΦΑΝΟΥΣ ΦΙΛΑΔΕΛΦΟΥ, Zeus, seated l., holding Nike and sceptre, in exergue I, yr. 10.",Antioch,Posthumous Philip,<null>,<null>,<null>,Private,1999-117,,Phase I,0.016,0.29,27.59,0.004,0.0151,1.74,0.014,0.0221,0.0005,0.0001,0.0002,0.0004,70.24,0.067,72.33,,
KB8,Tetradrachm,"Diademed hd. of Philip Philadelphus, r.","ΒΑΣΙΛΕΩΣ ΦΙΛΙΠΠΟΥ ΕΠΙΦΑΝΟΥΣ ΦΙΛΑΔΕΛΦΟΥ, Zeus, seated l., holding Nike and sceptre, in exergue ΘΙ, yr. 19.",Antioch,Posthumous Philip,<null>,<null>,<null>,Private,1999-118,,Phase II,0.028,0.36,30.11,0.004,0.0157,1.33,0.013,0.0248,0.0002,0.0001,0.0001,0.0011,68.03,0.069,69.80,,
KB9,Tetradrachm,"Diademed hd. of Philip Philadelphus, r.","ΒΑΣΙΛΕΩΣ ΦΙΛΙΠΠΟΥ ΕΠΙΦΑΝΟΥΣ ΦΙΛΑΔΕΛΦΟΥ, Zeus, seated l., holding Nike and sceptre, in exergue Κ, yr. 20.",Antioch,Posthumous Philip,<null>,<null>,<null>,Private,2000-107,,Phase II,0.054,0.38,31.21,0.008,0.0109,1.19,0.010,0.0173,0.0041,0.0001,0.0001,0.0083,67.08,0.028,68.67,,
KB10,Tetradrachm,"Diademed hd. of Philip Philadelphus, r.","ΒΑΣΙΛΕΩΣ ΦΙΛΙΠΠΟΥ ΕΠΙΦΑΝΟΥΣ ΦΙΛΑΔΕΛΦΟΥ, Zeus, seated l., holding Nike and sceptre, in exergue ΗΚ, yr. 28.",Antioch,Posthumous Philip,<null>,<null>,<null>,Private,1999-119,,Phase II,0.044,0.29,29.83,0.005,0.0175,0.95,0.016,0.2232,0.0017,0.0001,0.0001,0.0035,68.54,0.073,69.86,,
KB11,Tetradrachm,"ΝΕΡΩΝΟΣ ΚΑΙΣΑΡΟΣ ΣΕΒΑΣΤΟΥ, laur. bust, r., with aegis","Eagle on thunderbolt, l., to l., palm branch to r., GH Ρ, Yr. 6/108.",Antioch,Nero,<null>,<null>,<null>,Private,1997-211,,6/108,0.029,0.33,27.31,0.031,0.0052,0.70,0.033,0.0677,0.0011,0.0002,0.0013,0.0008,71.44,0.059,72.52,,
KB12,Tetradrachm,"ΝΕΡΩΝΟΣ ΚΑΙΣΑΡΟΣ ΣΕΒΑΣΤΟΥ, laur. bust, r., with aegis","Eagle on thunderbolt, l., to l., palm branch, to r., Ζ ΘΡ, Yr. 7/109",Antioch,Nero,<null>,<null>,<null>,Private,1997-271,,7/109,0.052,0.50,27.28,0.042,0.0027,0.80,0.022,0.1958,0.0081,0.0001,0.0013,0.0006,71.04,0.061,72.40,,
KB13,Tetradrachm,"ΝΕΡΩΝΟΣ ΚΑΙΣΑΡΟΣ ΣΕΒΑΣΤΟΥ, laur. bust, r., with aegis","Eagle on thunderbolt, l., to l., palm branch, to r., Η ΙΡ, Yr. 8/110.",Antioch,Nero,<null>,<null>,<null>,Private,1997-212,,8/110,0.029,0.46,31.17,0.006,0.0033,0.42,0.017,0.0014,0.0013,0.0001,0.0002,0.0075,67.84,0.042,68.77,,
KB14,Tetradrachm,"ΝΕΡΩΝΟΣ ΚΑΙΣΑΡΟΣ ΣΕΒΑΣΤΟΥ, laur. bust, r., with aegis","Eagle on thunderbolt, l., to l., palm branch,  to r., Η ΙΡ, Yr. 8/110.",Antioch,Nero,<null>,<null>,<null>,Private,1997-272,,8/110,0.019,0.46,26.92,0.012,0.0024,0.29,0.007,0.0016,0.0002,0.0001,0.0049,0.1298,72.14,0.021,72.90,,
KB15,Tetradrachm,"ΝΕΡΩΝ ΚΑΙΣΑΡ ΣΕΒΑΣΤΟΥ, laur. hd, r., with aegis","εΤΟΥΣ ΑΙΡ Θ, eagle on thunderbolt, r., to r., dot and palm branch Yr. 9/111.",Antioch,Nero,<null>,<null>,<null>,Private,1997-464,,9/111,0.023,0.47,31.92,0.013,0.0030,0.31,0.013,0.0010,0.0001,0.0001,0.0001,0.0001,67.19,0.058,68.03,,
KB16,Tetradrachm,"ΝΕΡΩΝ ΚΑΙΣΑΡ ΣΕΒΑΣΤΟΥ, laur. hd, r., with aegis","εΤΟΥΣ ΑΙΡ Θ, eagle on thunderbolt, r., to r., dot and palm branch Yr. 9/111.",Antioch,Nero,<null>,<null>,<null>,Private,2002-10,,9/111,0.038,0.43,35.83,0.006,0.0044,0.44,0.026,0.1141,0.0173,0.0001,0.0001,0.0001,63.04,0.050,63.96,,
KB18,Tetradrachm,"ΝΕΡΩΝ ΚΑΙΣΑΡ ΣΕΒΑΣΤΟΥ, laur. hd, r., with aegis","ΕΤΟΥΣ ΒΙΡ Ι, eagle on thunderbolt, r., to r., palm branch Yr. 10/112.",Antioch,Nero,<null>,<null>,<null>,Private,1997-160,,10/112,0.022,0.48,28.17,0.009,0.0033,0.16,0.019,0.0010,0.0001,0.0001,0.0003,0.0001,71.13,0.011,71.77,,
KB20,Tetradrachm,"ΝΕΡΩΝ ΚΑΙCΑΡ CΕΒΑCΤΟC, laur. hd, l.","ΕΤΟΥC ΔΙΡ, eagle on club, r., to l., palm branch Yr. 114.",Antioch,Nero,<null>,<null>,<null>,Private,1997-273,,,0.013,0.49,29.48,0.002,0.0025,0.79,0.025,0.0419,0.0051,0.0001,0.0003,0.0003,69.09,0.050,70.43,,
A18,Tetradrachm,"Diademed hd. of Philip Philadelphus, r.","ΒΑΣΙΛΕΩΣ ΦΙΛΙΠΠΟΥ ΕΠΙΦΑΝΟΥΣ ΦΙΛΑΔΕΛΦΟΥ, Zeus, seated l., holding Nike and sceptre, in exergue ΘΙ, yr. 19.",Antioch,Posthumous Philip,<null>,<null>,14.92,Ashmolean Museum,,-1,Phase II,0.009,0.31,31.46,0.003,0.0363,1.11,0.007,0.0012,0.0001,0.0001,0.0086,0.2867,66.72,0.040,68.19,,
A19,Tetradrachm,"Diademed hd. of Philip Philadelphus, r.","ΒΑΣΙΛΕΩΣ ΦΙΛΙΠΠΟΥ ΕΠΙΦΑΝΟΥΣ ΦΙΛΑΔΕΛΦΟΥ, Zeus, seated l., holding Nike and sceptre, in exergue ΑΚ, yr. 21.",Antioch,Posthumous Philip,<null>,<null>,15.28,Ashmolean Museum,,-1,Phase II,0.030,0.26,31.95,0.006,0.0143,1.56,0.019,0.0349,0.0005,0.0001,0.0001,0.0008,66.10,0.018,67.95,,
A20,Tetradrachm,"Diademed hd. of Philip Philadelphus, r.","ΒΑΣΙΛΕΩΣ ΦΙΛΙΠΠΟΥ ΕΠΙΦΑΝΟΥΣ ΦΙΛΑΔΕΛΦΟΥ, Zeus, seated l., holding Nike and sceptre, in exergue ΗΚ, yr. 28.",Antioch,Posthumous Philip,<null>,<null>,14.07,Ashmolean Museum,,-1,Phase II,0.044,0.26,32.96,0.003,0.0187,1.54,0.030,0.2189,0.0008,0.0001,0.0058,0.1911,64.67,0.059,66.53,,
A21,Tetradrachm,"Diademed hd. of Philip Philadelphus, r.","ΒΑΣΙΛΕΩΣ ΦΙΛΙΠΠΟΥ ΕΠΙΦΑΝΟΥΣ ΦΙΛΑΔΕΛΦΟΥ, Zeus, seated l., holding Nike and sceptre, in exergue ΣΛ, yr. 36.",Antioch,Posthumous Philip,<null>,<null>,14.74,Ashmolean Museum,,-1,Phase II,0.031,0.32,32.70,0.030,0.0152,1.57,0.015,0.2497,0.0077,0.0001,0.0009,0.0053,65.04,0.023,66.94,,
A22,Tetradrachm,"ΣΕΒΑΣΤΟΣ ΥΠ ΙΒ, bare hd. of Augustus, r.","ΚΑΙΣΑΡΟΣ ΘΕΟΥ ΥΙΟΥ, Zeus seated, l. with Nike and sceptre, to l., monograms ΠΑΓΡ and ΠΑ, in exergue, ΦΕ.",Antioch,Augustus,<null>,<null>,14.34,Ashmolean Museum,,-1,,0.075,0.25,44.75,0.009,0.0170,0.44,0.005,0.0012,0.0049,0.0001,0.0001,0.0168,54.43,0.001,55.12,,
A23,Tetradrachm,"ΚΑΙΣΑΡΟΣ ΣΕΒΑΣΤΟΥ, laur. hd., r.","ΕΤΟΥΣ GΚ ΝΙΚΗΣ, Tyche of Antioch seated, r., with palm branch, before river god Orontes, in field, ΥΠΑ ΙΒ and ΑΝΤ, yr. 26.",Antioch,Augustus,<null>,<null>,14.00,Ashmolean Museum,,-1,,0.060,0.31,31.54,0.004,0.0151,1.01,0.006,0.0014,0.0049,0.0001,0.0001,0.0144,67.03,0.001,68.35,,
A25,Tetradrachm,"ΚΑΙΣΑΡΟΣ ΣΕΒΑΣΤΟΥ, laur. hd., r.","ΕΤΟΥΣ ΒΜΞ ΝΙΚΗΣ, Tyche of Antioch seated, r., with palm branch, before river god Orontes, in field, ΥΠΑ ΙΒ and ΑΝΤ, yrs. 42 and 60.",Antioch,Augustus,<null>,<null>,15.18,Ashmolean Museum,,-1,,0.113,0.40,34.12,0.005,0.0152,0.72,0.019,0.0306,0.0010,0.0001,0.0001,0.0286,64.53,0.009,65.67,,
A26,Tetradrachm,"ΓΑΙΟΥ ΚΑΙΣΑΡΟΣ ΣΕΒΑ ΓΕΡΜ, laur. hd. r.","ΑΓΡΙΠΠΕΙΝΗΣ ΑΝΤΙΟ ΜΗΤΡΟ, draped bust of Agrippina I, r., to r., ΕΤ Γ",Antioch,Caligula,<null>,<null>,14.60,Ashmolean Museum,,-1,no dot,0.011,0.37,43.83,0.004,0.0024,0.41,0.009,0.0008,0.0001,0.0001,0.0001,0.0002,55.36,0.011,56.15,,
A27,Didrachm,"ΑΓΡΙΠΠεΙΝΗC CεΒΑΣΤΗC, draped bust of Agrippina II, l.","ΝεΡWΝΟC KAICAPOC ΓεΡΜΑΝΙΚΟΥ, draped bust of young Nero, l.",Antioch,Claudius,<null>,<null>,6.15,Ashmolean Museum,,,,0.007,0.70,6.57,0.002,0.0001,0.29,0.003,0.0035,0.0070,0.0001,0.0001,0.0001,92.39,0.037,93.41,,
A28,Didrachm,"ΝΕΡΩΝΟΣ ΚΑΙΣΑΡΟΣ ΣΕΒΑΣΤ, laur. hd., r.","ΔΙΔΡΑΧΜΟΝ, lituus and simpulum, in exergue, ΕΡ Γ, yr. 3/105.",Antioch,Nero,<null>,<null>,6.90,Ashmolean Museum,,,,0.048,0.21,48.63,0.014,0.0137,0.66,0.038,0.0487,0.0012,0.0001,0.0002,0.0026,50.32,0.017,51.20,,
A30,Tetradrachm,"ΝΕΡΩΝΟΣ ΚΑΙΣΑΡΟΣ ΣΕΒΑΣΤΟΥ, laur. bust, r., with aegis","Eagle on thunderbolt, l., to l., palm branch, to r., Ζ ΘΡ, Yr. 7/109.",Antioch,Nero,<null>,<null>,14.26,Ashmolean Museum,,-1,Walker: 77% AR. 7/109,0.027,0.41,30.75,0.014,0.0043,0.95,0.063,0.2778,0.0083,0.0002,0.0002,0.0003,67.49,0.012,68.85,,
A31,Tetradrachm,"ΝΕΡΩΝΟΣ ΚΑΙΣΑΡΟΣ ΣΕΒΑΣΤΟΥ, laur. bust, r., with aegis","Eagle on thunderbolt, l., to l., palm branch, to r., Η ΙΡ, Yr. 8/110.",Antioch,Nero,<null>,<null>,14.78,Ashmolean Museum,,-1,Walker: 73.5% AR. 8/110,0.035,0.42,29.49,0.014,0.0116,0.63,0.024,0.0416,0.0016,0.0001,0.0001,0.0021,69.31,0.023,70.38,,
A32,Tetradrachm,"ΝΕΡΩΝ ΚΑΙΣΑΡ ΣΕΒΑΣΤΟΣ, laur. hd, r., with aegis","ΕΤΟΥΣ ΑΙΡ Θ, eagle on thunderbolt, r., to r., dot and palm branch Yr. 9/111.",Antioch,Nero,<null>,<null>,13.95,Ashmolean Museum,,,9/111,0.035,0.44,31.02,0.005,0.0032,0.27,0.038,0.1393,0.0001,0.0001,0.0035,0.1225,67.90,0.033,68.64,,
